Restaurant Name,City,Locality,Average_Cost_USD,Currency,Price range,Votes,Has Table booking,Has Online delivery,Cuisine_Count,Aggregate rating
Shot Tower Inn,Dubuque,Dubuque,25.0,Dollar($),2,131,0,0,2,3.6
Sunshine Family Restaurant,Dubuque,Dubuque,10.0,Dollar($),1,60,0,0,3,3.5
Watershed Cafe,Dubuque,Dubuque,25.0,Dollar($),2,89,0,0,4,3.7
Woodfire Grille,Dubuque,Dubuque,70.0,Dollar($),4,72,0,0,3,3.6
The Belle General,East Ballina,East Ballina,20.0,Dollar($),2,56,0,0,1,4.1
Jehova es Mi Pastor Tacos y Burritos,Fernley,Fernley,10.0,Dollar($),1,83,0,0,1,3.7
Flaxton Gardens,Flaxton,Flaxton,30.0,Dollar($),3,37,0,0,2,3.5
Bespoke Harvest,Forrest,Forrest,20.0,Dollar($),2,29,0,0,2,3.7
Houndstooth Grill & Tavern,Gainesville,Braselton,25.0,Dollar($),2,239,0,0,3,4.4
Hawg Wild BBQ & Catfish House,Gainesville,Clarkesville,10.0,Dollar($),1,235,0,0,3,4.1
Bourbon Street Grille,Gainesville,Dahlonega,25.0,Dollar($),2,88,0,0,3,3.8
Corkscrew Cafe,Gainesville,Dahlonega,40.0,Dollar($),3,209,0,0,1,3.9
Smokin Gold BBQ,Gainesville,Dahlonega,10.0,Dollar($),1,133,0,0,1,3.9
Hoka-Hoka Japanese Steak & Sushi,Gainesville,Dahlonega,10.0,Dollar($),1,267,0,0,3,4.4
Shenanigan's Irish Pub,Gainesville,Dahlonega,25.0,Dollar($),2,171,0,0,3,4.1
Fish Tales Lakeside Grille,Gainesville,Flowery Branch,25.0,Dollar($),2,107,0,0,1,3.8
Antebellum,Gainesville,Flowery Branch,40.0,Dollar($),3,164,0,0,2,4.3
Moonie's Texas Barbecue,Gainesville,Flowery Branch,10.0,Dollar($),1,182,0,0,2,4.1
Atlanta Highway Seafood Market,Gainesville,Gainesville,25.0,Dollar($),2,681,0,0,3,4.9
Eat at Thai,Gainesville,Gainesville,10.0,Dollar($),1,357,0,0,1,4.6
Smoke House BBQ and Catering,Gainesville,Gainesville,25.0,Dollar($),2,89,0,0,1,3.8
2 Dog,Gainesville,Gainesville,25.0,Dollar($),2,350,0,0,3,4.2
Longstreet Cafe,Gainesville,Gainesville,10.0,Dollar($),1,298,0,0,1,4.3
Re-Cess,Gainesville,Gainesville,25.0,Dollar($),2,319,0,0,2,4.2
Bodensee,Gainesville,Helen,40.0,Dollar($),3,114,0,0,1,3.8
Hofer's Bakery & Cafe,Gainesville,Helen,10.0,Dollar($),1,136,0,0,2,3.9
Troll Tavern,Gainesville,Helen,25.0,Dollar($),2,108,0,0,3,2.2
The Nacoochee Village Tavern & Pizzeria,Gainesville,Helen,10.0,Dollar($),1,161,0,0,3,4.0
Blue Bean Love Cafe,Hepburn Springs,Hepburn Springs,20.0,Dollar($),2,192,0,0,3,3.8
La Trattoria of Lavandula,Hepburn Springs,Hepburn Springs,7.0,Dollar($),1,93,0,0,3,3.8
5 Little Pigs,Huskisson,Huskisson,20.0,Dollar($),2,40,0,0,2,4.1
Beach Box Cafe,Inverloch,Inverloch,7.0,Dollar($),1,100,0,0,3,3.7
Funkey Monkey,Lakes Entrance,Lakes Entrance,7.0,Dollar($),1,97,0,0,2,3.8
Burger Queen Drive In,Lakeview,Lakeview,10.0,Dollar($),1,41,0,0,3,3.6
Blue Orchid Thai Restaurant,Lincoln,Haymarket,25.0,Dollar($),2,799,0,0,1,4.5
Stillwater on Belmore,Lorn,Lorn,20.0,Dollar($),2,18,0,0,2,3.6
Mr.,Macedon,Macedon,20.0,Dollar($),2,31,0,0,1,3.5
Emilio's Cuban Cafe,Macon,Bonaire,25.0,Dollar($),2,146,0,0,3,3.9
Ingleside Village Pizza,Macon,Macon,10.0,Dollar($),1,478,0,0,2,4.9
Jim Shaw's Seafood Grill & Bar,Macon,Macon,25.0,Dollar($),2,467,0,0,1,4.6
Mandarin Chinese Restaurant,Macon,Macon,25.0,Dollar($),2,302,0,0,2,4.5
Rookery,Macon,Macon,25.0,Dollar($),2,289,0,0,3,4.5
Dovetail,Macon,Macon,40.0,Dollar($),3,102,0,0,1,3.8
Bonefish Grill,Macon,Macon,40.0,Dollar($),3,293,0,0,2,4.1
Downtown Grill,Macon,Macon,70.0,Dollar($),4,195,0,0,1,4.0
Greek Corner Deli,Macon,Macon,10.0,Dollar($),1,244,0,0,3,4.3
Natalia's,Macon,Macon,70.0,Dollar($),4,379,0,0,3,4.2
Papouli's Mediterranean Cafe & Market,Macon,Macon,10.0,Dollar($),1,223,0,0,3,4.2
Benson's Steak and Sushi,Macon,Warner Robins,25.0,Dollar($),2,243,0,0,3,3.7
My Fathers Place,Macon,Warner Robins,25.0,Dollar($),2,104,0,0,1,3.7
Sushi Thai Restaurant,Macon,Warner Robins,10.0,Dollar($),1,153,0,0,3,3.7
The Mellow Mushroom,Macon,Warner Robins,25.0,Dollar($),2,323,0,0,3,3.8
El Jalisciense Mexican Restaurant,Macon,Warner Robins,10.0,Dollar($),1,181,0,0,1,4.1
Greek Village,Macon,Warner Robins,25.0,Dollar($),2,316,0,0,3,4.0
Martin's BBQ,Macon,Warner Robins,25.0,Dollar($),2,288,0,0,1,4.2
Thai Pepper,Macon,Warner Robins,10.0,Dollar($),1,232,0,0,3,4.0
Zen Japanese Steakhouse and Sushi Bar,Macon,Warner Robins,40.0,Dollar($),3,314,0,0,3,4.1
Star Buffet,Mayfield,Mayfield,20.0,Dollar($),2,11,0,0,1,2.9
Triangle Restaurant,Mc Millan,Mc Millan,10.0,Dollar($),1,17,0,0,2,2.4
Three Anchors,Middleton Beach,Middleton Beach,30.0,Dollar($),3,176,0,0,2,3.8
HI Lite Bar & Lounge,Miller,Miller,0.0,Dollar($),1,11,0,0,1,3.4
Vince's Restaurant & Pizzeria,Monroe,Monroe,25.0,Dollar($),2,65,0,0,2,3.6
Poets Cafe,Montville,Montville,30.0,Dollar($),3,193,0,0,2,2.4
The Artesian Restaurant,Ojo Caliente,Ojo Caliente,40.0,Dollar($),3,30,0,0,3,3.6
Ceví_che Tapas Bar & Restaurant,Orlando,Church Street District,40.0,Dollar($),3,981,0,0,2,4.4
'Ohana,Orlando,Disney World Area,45.0,Dollar($),3,1151,0,0,1,4.5
Earl of Sandwich,Orlando,Disney: Downtown Disney,35.0,Dollar($),3,1341,0,0,3,4.7
Raglan Road Irish Pub and Restaurant,Orlando,Disney: Downtown Disney,50.0,Dollar($),4,782,0,0,1,4.3
Cafí© Tu Tu Tango,Orlando,I-Drive/Universal,40.0,Dollar($),3,1293,0,0,2,4.6
Texas de Brazil,Orlando,I-Drive/Universal,100.0,Dollar($),4,2324,0,0,2,4.6
Bahama Breeze Island Grille,Orlando,I-Drive/Universal,45.0,Dollar($),3,910,0,0,1,4.3
Maggiano's Little Italy,Orlando,I-Drive/Universal,50.0,Dollar($),4,886,0,0,1,4.4
Hawkers Asian Street Fare,Orlando,Mills 50,35.0,Dollar($),3,1293,0,0,2,4.6
Tako Cheena by Pom Pom,Orlando,Mills 50,10.0,Dollar($),1,570,0,0,3,4.4
Seasons 52 Fresh Grill,Orlando,Restaurant Row,60.0,Dollar($),4,1685,0,0,1,4.4
Hollerbach's Willow Tree Cafí©,Orlando,Sanford,40.0,Dollar($),3,1699,0,0,1,4.8
Pom Pom's Teahouse and Sandwicheria,Orlando,The Milk District,25.0,Dollar($),2,1457,0,0,3,4.9
Yellow Dog Eats,Orlando,Windermere,35.0,Dollar($),3,1252,0,0,3,4.9
Tibby's New Orleans Kitchen,Orlando,Winter Park,25.0,Dollar($),2,1412,0,0,1,4.7
The Coop,Orlando,Winter Park,25.0,Dollar($),2,432,0,0,3,3.6
Bosphorous Turkish Cuisine,Orlando,Winter Park,40.0,Dollar($),3,568,0,0,2,4.2
Ethos Vegan Kitchen,Orlando,Winter Park,25.0,Dollar($),2,797,0,0,3,4.4
Hillstone,Orlando,Winter Park,40.0,Dollar($),3,1158,0,0,1,4.4
The Ravenous Pig,Orlando,Winter Park,40.0,Dollar($),3,1998,0,0,1,4.4
Vivo Bar and Grill,Palm Cove,Palm Cove,30.0,Dollar($),3,381,0,0,2,4.4
Pier 70,Paynesville,Paynesville,120.0,Dollar($),4,16,0,0,1,2.6
DiVine,Penola,Penola,20.0,Dollar($),2,19,0,0,3,3.4
Cactus Flower Cafe Navarre,Pensacola,Navarre,25.0,Dollar($),2,635,0,0,3,4.2
McGuire's Irish Pub & Brewery,Pensacola,Pensacola,40.0,Dollar($),3,2238,0,0,3,4.9
New Yorker Deli & Pizzeria,Pensacola,Pensacola,10.0,Dollar($),1,792,0,0,3,4.6
Tu-Do Vietnamese Restaurant,Pensacola,Pensacola,10.0,Dollar($),1,828,0,0,2,4.5
Carrabba's Italian Grill,Pensacola,Pensacola,40.0,Dollar($),3,292,0,0,3,3.7
Jaco's Bayfront Bar and Grille,Pensacola,Pensacola,25.0,Dollar($),2,502,0,0,1,3.9
The Tin Cow,Pensacola,Pensacola,25.0,Dollar($),2,559,0,0,2,3.7
Cactus Flower Cafe,Pensacola,Pensacola,25.0,Dollar($),2,1268,0,0,3,4.2
Dharma Blue,Pensacola,Pensacola,40.0,Dollar($),3,669,0,0,2,4.1
Global Grill,Pensacola,Pensacola,40.0,Dollar($),3,900,0,0,3,4.4
Ichiban,Pensacola,Pensacola,25.0,Dollar($),2,765,0,0,2,4.3
The Fish House,Pensacola,Pensacola,40.0,Dollar($),3,1270,0,0,3,4.0
Tuscan Oven,Pensacola,Pensacola,25.0,Dollar($),2,502,0,0,3,4.1
Flounders Chowder House,Pensacola,Pensacola Beach,40.0,Dollar($),3,724,0,0,1,3.9
Hemingway's Island Grill,Pensacola,Pensacola Beach,40.0,Dollar($),3,479,0,0,3,3.5
Native Cafe,Pensacola,Pensacola Beach,25.0,Dollar($),2,591,0,0,2,4.2
Peg Leg Pete's,Pensacola,Pensacola Beach,40.0,Dollar($),3,1408,0,0,3,4.4
The Grand Marlin,Pensacola,Pensacola Beach,40.0,Dollar($),3,905,0,0,2,4.3
Original Georgios Authentic Greek Food,Pensacola,Perdido Key,10.0,Dollar($),1,816,0,0,1,4.7
Fisherman's Corner,Pensacola,Perdido Key,40.0,Dollar($),3,747,0,0,3,4.4
Mad Cowes Cafe,Phillip Island,Phillip Island,20.0,Dollar($),2,351,0,0,3,3.7
Rupes Burgers,Pocatello,Blackfoot,10.0,Dollar($),1,104,0,0,2,3.7
Texas Roadhouse,Pocatello,Chubbuck,45.0,Dollar($),3,83,0,0,3,3.5
Riverwalk Cafe,Pocatello,Lava Hot Springs,10.0,Dollar($),1,91,0,0,2,3.6
Royal Hotel,Pocatello,Lava Hot Springs,0.0,Dollar($),1,59,0,0,2,3.6
Buddy's Italian Restaurant,Pocatello,Pocatello,40.0,Dollar($),3,222,0,0,3,3.7
Butterburrs,Pocatello,Pocatello,30.0,Dollar($),3,121,0,0,2,3.6
Chang Garden,Pocatello,Pocatello,10.0,Dollar($),1,93,0,0,1,3.5
Fifth Street Bagelry,Pocatello,Pocatello,10.0,Dollar($),1,136,0,0,2,3.8
Goody's Deli,Pocatello,Pocatello,10.0,Dollar($),1,160,0,0,2,3.8
Grecian Key Restaurant,Pocatello,Pocatello,25.0,Dollar($),2,152,0,0,2,3.7
Outer Limits Fun Zone,Pocatello,Pocatello,10.0,Dollar($),1,57,0,0,3,3.5
Portneuf Valley Brewing,Pocatello,Pocatello,25.0,Dollar($),2,191,0,0,2,3.7
Sandpiper Restaurant & Lounge,Pocatello,Pocatello,40.0,Dollar($),3,85,0,0,3,3.6
Senor Iguanas,Pocatello,Pocatello,0.0,Dollar($),1,108,0,0,1,3.6
Sushi Family,Pocatello,Pocatello,25.0,Dollar($),2,132,0,0,3,3.6
Taste of India Nepal,Pocatello,Pocatello,25.0,Dollar($),2,141,0,0,3,3.8
Thai Paradise,Pocatello,Pocatello,25.0,Dollar($),2,162,0,0,2,3.7
The Bridge,Pocatello,Pocatello,40.0,Dollar($),3,144,0,0,1,3.6
El Herradero,Pocatello,Pocatello,10.0,Dollar($),1,365,0,0,1,4.1
Barrett Junction Cafe,Potrero,Potrero,25.0,Dollar($),2,9,0,0,3,3.3
Blue Point Grill,Princeton,Princeton,70.0,Dollar($),4,542,0,0,1,4.0
Giovanni's Shrimp Truck,Rest of Hawaii,Kahuku,25.0,Dollar($),2,691,0,0,1,4.5
Kona Brewing Company,Rest of Hawaii,Kailua Kona,35.0,Dollar($),3,764,0,0,3,4.7
Leonard's Bakery,Rest of Hawaii,Kaimuki,10.0,Dollar($),1,707,0,0,1,4.7
Coconuts Fish Cafe,Rest of Hawaii,Kihei,30.0,Dollar($),3,487,0,0,1,4.5
Kihei Caffe,Rest of Hawaii,Kihei,10.0,Dollar($),1,695,0,0,2,4.5
Monkeypod Kitchen by Merriman,Rest of Hawaii,Kihei,40.0,Dollar($),3,485,0,0,1,4.2
Sansei Seafood Restaurant & Sushi Bar,Rest of Hawaii,Kihei,40.0,Dollar($),3,807,0,0,3,4.2
Star Noodle,Rest of Hawaii,Lahaina,10.0,Dollar($),1,723,0,0,1,4.6
Aloha Mixed Plate,Rest of Hawaii,Lahaina,10.0,Dollar($),1,874,0,0,3,4.2
Gazebo,Rest of Hawaii,Lahaina,25.0,Dollar($),2,552,0,0,2,4.4
Hula Grill,Rest of Hawaii,Lahaina,40.0,Dollar($),3,1056,0,0,3,4.3
Kimo's,Rest of Hawaii,Lahaina,40.0,Dollar($),3,707,0,0,3,4.3
Mama's Fish House,Rest of Hawaii,Paia,70.0,Dollar($),4,1343,0,0,2,4.9
Marukame Udon,Rest of Hawaii,Waikiki,10.0,Dollar($),1,602,0,0,1,4.9
Yard House,Rest of Hawaii,Waikiki,40.0,Dollar($),3,1078,0,0,3,4.6
Lulu's Waikiki,Rest of Hawaii,Waikiki,25.0,Dollar($),2,232,0,0,1,3.9
Duke's Waikiki,Rest of Hawaii,Waikiki,70.0,Dollar($),4,1492,0,0,3,4.4
Eggs 'n Things,Rest of Hawaii,Waikiki,10.0,Dollar($),1,535,0,0,1,4.0
Roy's,Rest of Hawaii,Waikiki,70.0,Dollar($),4,531,0,0,3,4.2
Wailana Coffee House,Rest of Hawaii,Waikiki,25.0,Dollar($),2,694,0,0,3,4.2
The Lady & Sons,Savannah,Savannah,40.0,Dollar($),3,1201,0,0,1,3.3
Green Truck Pub,Savannah,Savannah,40.0,Dollar($),3,906,0,0,1,4.7
Leopold's Ice Cream,Savannah,Savannah,10.0,Dollar($),1,880,0,0,3,4.6
Mrs. Wilkes' Dining Room,Savannah,Savannah,40.0,Dollar($),3,1014,0,0,2,4.5
Zunzi's,Savannah,Savannah,25.0,Dollar($),2,796,0,0,3,4.5
Moon River Brewing Company,Savannah,Savannah,25.0,Dollar($),2,747,0,0,3,3.7
Pirates' House Restaurant,Savannah,Savannah,40.0,Dollar($),3,566,0,0,3,3.8
B. Matthew's Eatery,Savannah,Savannah,25.0,Dollar($),2,683,0,0,2,4.1
Crystal Beer Parlor,Savannah,Savannah,25.0,Dollar($),2,690,0,0,2,4.4
Goose Feathers Cafe and Bakery,Savannah,Savannah,10.0,Dollar($),1,680,0,0,2,4.2
Henry's,Savannah,Savannah,10.0,Dollar($),1,287,0,0,2,4.1
Huey's On The River,Savannah,Savannah,40.0,Dollar($),3,802,0,0,2,4.1
J. Christopher's,Savannah,Savannah,25.0,Dollar($),2,710,0,0,3,4.3
Lulu's Chocolate Bar,Savannah,Savannah,10.0,Dollar($),1,456,0,0,2,4.3
Rocks on the River,Savannah,Savannah,70.0,Dollar($),4,687,0,0,3,4.0
SOHO South Cafe,Savannah,Savannah,25.0,Dollar($),2,719,0,0,3,4.3
The Olde Pink House,Savannah,Savannah,70.0,Dollar($),4,1803,0,0,3,4.4
Vic's On The River,Savannah,Savannah,70.0,Dollar($),4,558,0,0,1,4.1
The Crab Shack,Savannah,Tybee Island,40.0,Dollar($),3,883,0,0,1,3.8
Tybee Island Social Club,Savannah,Tybee Island,10.0,Dollar($),1,309,0,0,1,3.9
Sky On 57,Singapore,"Bayfront Avenue, Downtown Core",300.0,Dollar($),4,34,0,0,3,3.4
Cut By Wolfgang Puck,Singapore,"Bayfront Subzone, Downtown Core",270.0,Dollar($),4,33,0,0,2,4.0
Restaurant Andre,Singapore,"Cantonment Road, Outram",500.0,Dollar($),4,33,0,0,3,3.8
Potato Head Folk,Singapore,"Chinatown, Outram",80.0,Dollar($),4,34,0,0,1,3.1
Jaan,Singapore,"City Hall, Downtown Core",430.0,Dollar($),4,35,0,0,1,3.8
Rhubarb Le Restaurant,Singapore,"Duxton Hill, Outram",315.0,Dollar($),4,33,0,0,1,3.9
Al'frank Cookies,Singapore,"Haji Lane, Rochor",20.0,Dollar($),2,29,0,0,1,4.2
Fratini La Trattoria,Singapore,"Hillcrest, Bukit Timah",100.0,Dollar($),4,35,0,0,1,4.1
Boufe Boutique Cafe,Singapore,"Kay Siang Road, Tanglin",50.0,Dollar($),3,29,0,0,4,3.2
The Refinery Singapore,Singapore,"Lavender, Kallang",80.0,Dollar($),4,30,0,0,3,3.2
Chye Seng Huat Hardware,Singapore,"Lavender, Kallang",40.0,Dollar($),3,33,0,0,1,3.7
Makansutra Gluttons Bay,Singapore,"Marina Centre, Downtown Core",30.0,Dollar($),3,25,0,0,5,3.0
Colony,Singapore,"Marina Centre, Downtown Core",220.0,Dollar($),4,30,0,0,3,3.8
Summer Pavilion,Singapore,"Marina Centre, Downtown Core",300.0,Dollar($),4,34,0,0,4,3.9
The Lokal,Singapore,"Neil Road, Outram",60.0,Dollar($),4,33,0,0,3,3.1
I Am,Singapore,"North Bridge Road, Rochor",60.0,Dollar($),4,32,0,0,3,3.2
Super Loco,Singapore,"Robertson Quay, Singapore River",95.0,Dollar($),4,30,0,0,2,3.2
Artistry,Singapore,"Sungai Pinang, Rochor",50.0,Dollar($),3,28,0,0,5,3.8
Bitters & Love,Singapore,"Telok Ayer Street, Outram",40.0,Dollar($),3,35,0,0,1,3.9
Artichoke Cafe,Singapore,"Victoria, Rochor",75.0,Dollar($),4,33,0,0,4,3.2
Archie's Waeside,Sioux City,Le Mars,40.0,Dollar($),3,100,0,0,3,3.7
Bob Roe's Pizza,Sioux City,Sioux City,10.0,Dollar($),1,92,0,0,3,3.6
Da Kao Restaurant,Sioux City,Sioux City,10.0,Dollar($),1,182,0,0,3,3.8
Famous Dave's,Sioux City,Sioux City,10.0,Dollar($),1,76,0,0,1,3.6
Fuji Bay Japanese Restaurant,Sioux City,Sioux City,40.0,Dollar($),3,129,0,0,2,3.7
HuHot Mongolian Grill,Sioux City,Sioux City,25.0,Dollar($),2,94,0,0,2,3.6
Hunan Palace,Sioux City,Sioux City,25.0,Dollar($),2,129,0,0,1,3.8
Jerry's Pizza,Sioux City,Sioux City,25.0,Dollar($),2,178,0,0,1,3.8
Jim's Burgers,Sioux City,Sioux City,10.0,Dollar($),1,97,0,0,1,3.7
Johnnie Mars,Sioux City,Sioux City,10.0,Dollar($),1,161,0,0,3,3.9
Miles Inn,Sioux City,Sioux City,10.0,Dollar($),1,122,0,0,1,3.7
Milwaukee Wiener House,Sioux City,Sioux City,10.0,Dollar($),1,195,0,0,2,3.8
Minerva's Food & Cocktails,Sioux City,Sioux City,40.0,Dollar($),3,146,0,0,3,3.7
Monterrey Mexican Restaurant,Sioux City,Sioux City,10.0,Dollar($),1,117,0,0,1,3.7
Rebos,Sioux City,Sioux City,25.0,Dollar($),2,187,0,0,3,3.8
Tokyo Japanese Steakhouse & Sushi Bar,Sioux City,Sioux City,40.0,Dollar($),3,239,0,0,3,3.9
Diamond Thai Cuisine,Sioux City,Sioux City,10.0,Dollar($),1,303,0,0,3,4.0
El Fredo Pizza,Sioux City,Sioux City,40.0,Dollar($),3,280,0,0,1,4.0
Trattoria Fresco,Sioux City,Sioux City,25.0,Dollar($),2,271,0,0,1,4.0
Kahill's Steak-Fish Chophouse,Sioux City,South Sioux City,70.0,Dollar($),4,58,0,0,3,3.5
Rumba Island Bar & Grill,Tampa Bay,Clearwater,25.0,Dollar($),2,1321,0,0,3,4.6
Red Mesa Cantina,Tampa Bay,Downtown St Petersburg,25.0,Dollar($),2,1629,0,0,3,4.6
BellaBrava,Tampa Bay,Downtown St Petersburg,25.0,Dollar($),2,921,0,0,3,4.1
Ceviche Tapas Bar & Restaurant,Tampa Bay,Downtown St Petersburg,25.0,Dollar($),2,986,0,0,2,4.1
The Moon Under Water,Tampa Bay,Downtown St Petersburg,25.0,Dollar($),2,1020,0,0,3,4.1
Bern's Steak House,Tampa Bay,Hyde Park,70.0,Dollar($),4,3157,0,0,3,4.7
Boca Kitchen Bar Market,Tampa Bay,Hyde Park,40.0,Dollar($),3,665,0,0,1,3.9
Edison: Food+Drink Lab,Tampa Bay,Hyde Park,70.0,Dollar($),4,373,0,0,1,3.9
Ceviche Tapas Bar & Restaurant,Tampa Bay,Hyde Park,25.0,Dollar($),2,1007,0,0,3,4.4
Daily Eats,Tampa Bay,Hyde Park,25.0,Dollar($),2,803,0,0,2,4.4
Salt Rock Grill,Tampa Bay,Indian Rocks/Indian Shores,40.0,Dollar($),3,1363,0,0,3,4.2
Mazzaro's Italian Market,Tampa Bay,Kenwood,10.0,Dollar($),1,1424,0,0,2,4.9
Conch Republic Grill,Tampa Bay,Madeira Beach/Redington Beach,40.0,Dollar($),3,844,0,0,3,4.5
Mr. Dunderbak's Biergarten and Marketplatz,Tampa Bay,New Tampa,40.0,Dollar($),3,1413,0,0,2,4.9
Red Mesa Restaurant,Tampa Bay,Northeast St Petersburg,40.0,Dollar($),3,1203,0,0,2,4.5
Datz,Tampa Bay,Palma Ceia,40.0,Dollar($),3,3074,0,0,2,4.7
Ella's Americana Folk Art Cafe,Tampa Bay,Seminole Heights,40.0,Dollar($),3,1715,0,0,3,4.8
Taco Bus,Tampa Bay,Seminole Heights,10.0,Dollar($),1,1868,0,0,2,4.5
The Refinery,Tampa Bay,Seminole Heights,40.0,Dollar($),3,875,0,0,2,4.0
Columbia Restaurant,Tampa Bay,Ybor City,40.0,Dollar($),3,1746,0,0,2,4.4
1918 Bistro & Grill,Tanunda,Tanunda,30.0,Dollar($),3,339,0,0,2,4.4
Pig and Whistle,Trentham East,Trentham East,20.0,Dollar($),2,87,0,0,1,4.1
Buffalo Wild Wings,Valdosta,Valdosta,25.0,Dollar($),2,98,0,0,1,3.4
El Toreo Mexican Restaurant,Valdosta,Valdosta,25.0,Dollar($),2,83,0,0,1,3.1
306 North Restaurant,Valdosta,Valdosta,40.0,Dollar($),3,231,0,0,2,3.9
Austins Cattle Co,Valdosta,Valdosta,40.0,Dollar($),3,216,0,0,3,3.7
Beijing Cafe,Valdosta,Valdosta,35.0,Dollar($),3,185,0,0,3,3.8
Bleu Cafe,Valdosta,Valdosta,25.0,Dollar($),2,185,0,0,2,3.7
Bleu Pub,Valdosta,Valdosta,10.0,Dollar($),1,281,0,0,3,3.8
Bubba Jax Crab Shack,Valdosta,Valdosta,40.0,Dollar($),3,137,0,0,2,3.7
Cheddar's Scratch Kitchen,Valdosta,Valdosta,25.0,Dollar($),2,209,0,0,1,3.7
El Cazador,Valdosta,Valdosta,10.0,Dollar($),1,168,0,0,1,3.7
Friends Grille and Bar,Valdosta,Valdosta,25.0,Dollar($),2,243,0,0,2,3.9
Giulios Greek & Italian Restaurant,Valdosta,Valdosta,40.0,Dollar($),3,221,0,0,2,3.8
La Jalisco Supermercato,Valdosta,Valdosta,10.0,Dollar($),1,46,0,0,1,3.5
Masato Japanese,Valdosta,Valdosta,25.0,Dollar($),2,262,0,0,2,3.9
Mom & Dad's Italian Restaurant,Valdosta,Valdosta,25.0,Dollar($),2,183,0,0,1,3.7
Mori's Japanese Steakhouse & Sushi Bar,Valdosta,Valdosta,70.0,Dollar($),4,208,0,0,3,3.5
Passage 2 India,Valdosta,Valdosta,25.0,Dollar($),2,245,0,0,2,3.8
Rodeo Mexican Restaurant,Valdosta,Valdosta,25.0,Dollar($),2,199,0,0,1,3.8
Steel Magnolias,Valdosta,Valdosta,40.0,Dollar($),3,225,0,0,1,3.8
Smok'n Pig B-B-Q,Valdosta,Valdosta,25.0,Dollar($),2,575,0,0,1,4.1
Blue House Cafe,Vernonia,Vernonia,10.0,Dollar($),1,88,0,0,2,4.3
Anchorage Cafe Restaurant Wine Bar,Victor Harbor,Victor Harbor,20.0,Dollar($),2,96,0,0,3,3.6
Lake House Restaurant,Vineland Station,Vineland Station,70.0,Dollar($),4,204,0,0,3,4.3
Masala Grill & Coffee House,Waterloo,Cedar Falls,10.0,Dollar($),1,18,0,0,2,3.2
Brown Bottle The Cedar Falls,Waterloo,Cedar Falls,25.0,Dollar($),2,134,0,0,3,3.7
Four Queens Dairy Cream,Waterloo,Cedar Falls,10.0,Dollar($),1,190,0,0,1,3.9
Hong Kong Chinese Restaurant,Waterloo,Cedar Falls,10.0,Dollar($),1,136,0,0,1,3.8
HuHot Mongolian Grill,Waterloo,Cedar Falls,25.0,Dollar($),2,113,0,0,2,3.7
J's Homestyle Cooking,Waterloo,Cedar Falls,10.0,Dollar($),1,69,0,0,2,3.6
Montage,Waterloo,Cedar Falls,40.0,Dollar($),3,89,0,0,3,3.6
Mulligan's Brick Oven Grill,Waterloo,Cedar Falls,25.0,Dollar($),2,80,0,0,3,3.6
Sakura,Waterloo,Cedar Falls,40.0,Dollar($),3,175,0,0,2,3.8
Scratch,Waterloo,Cedar Falls,10.0,Dollar($),1,136,0,0,3,3.7
SOHO Sushi Bar & Deli,Waterloo,Cedar Falls,25.0,Dollar($),2,114,0,0,3,3.6
Texas Roadhouse,Waterloo,Cedar Falls,25.0,Dollar($),2,93,0,0,3,3.6
Tony's La Pizzeria,Waterloo,Cedar Falls,25.0,Dollar($),2,89,0,0,2,3.6
Chapala,Waterloo,Waterloo,25.0,Dollar($),2,69,0,0,1,3.6
Galleria de Paco,Waterloo,Waterloo,40.0,Dollar($),3,86,0,0,1,3.6
Golden China,Waterloo,Waterloo,10.0,Dollar($),1,73,0,0,1,3.7
Rudy's Tacos,Waterloo,Waterloo,25.0,Dollar($),2,104,0,0,1,3.6
The Screaming Eagle,Waterloo,Waterloo,10.0,Dollar($),1,101,0,0,2,3.7
The Thai Bowl,Waterloo,Waterloo,10.0,Dollar($),1,58,0,0,1,3.5
Tokyo Japanese Steak House,Waterloo,Waterloo,25.0,Dollar($),2,156,0,0,3,3.9
Theo Yianni's Authentic Greek Restaurant,Weirton,Weirton,25.0,Dollar($),2,156,0,0,3,3.9
Fishpatrick's Crabby Cafe,Winchester Bay,Winchester Bay,25.0,Dollar($),2,16,0,0,3,3.2
Arigato Sushi,Yorkton,Yorkton,25.0,Dollar($),2,26,0,0,1,3.3
Denny's,Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",51.300000000000004,Emirati Diram(AED),4,207,0,0,1,4.6
Famous Dave's Barbecue,Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",70.2,Emirati Diram(AED),4,376,0,1,1,4.6
Pizza Di Rocco,Abu Dhabi,Al Dhafrah,40.5,Emirati Diram(AED),3,471,1,1,2,4.4
Sofra Istanbul,Abu Dhabi,Al Dhafrah,18.900000000000002,Emirati Diram(AED),2,224,0,0,3,4.3
Salt,Abu Dhabi,Al Mushrif,27.0,Emirati Diram(AED),3,228,0,0,2,4.2
Genghis Grill,Abu Dhabi,"Al Wahda Mall, Al Wahda",48.6,Emirati Diram(AED),4,81,0,0,1,4.6
Olive Garden,Abu Dhabi,"Al Wahda Mall, Al Wahda",62.1,Emirati Diram(AED),4,422,0,0,2,4.1
